中央电视,#genre#
平菇炒鸡蛋,https://vd3.bdstatic.com/mda-jmnbdrqmvyjmeyqs/v1-cae/sc/mda-jmnbdrqmvyjmeyqs.mp4
湿炒牛河,https://vd3.bdstatic.com/mda-jgekbcvjk7mwtkae/sc/mda-jgekbcvjk7mwtkae.mp4
金针菇豆腐蛋花汤,https://vd3.bdstatic.com/mda-jg1ccbqk185isyua/sc/mda-jg1ccbqk185isyua.mp4

舌尖中国,#genre#
1.1自然的馈赠,https://boot-video.xuexi.cn/video/1004/p/e36231604bf26f922fecfc02b5a8b0c5-c5781f68e06745d2807d5de7ffa4bcfa-2.mp4
1.2主食的故事,https://boot-video.xuexi.cn/video/1004/p/621f348d9ebcdc2674e9753aac25fec5-cd52848e8d5a4236a708ff2d1075d1ed-2.mp4
1.3转化的灵感,https://boot-video.xuexi.cn/video/1004/p/0d82119b491cd93ec1bdb90ef58d0382-2a527a137c6c43f189bb1575e77f5059-2.mp4
1.4时间的味道,https://boot-video.xuexi.cn/video/1004/p/bf34f1f5101abd2dc0d3a98b8b4082fd-64603f786690434d97711c5cf1c713e6-2.mp4
1.5厨房的秘密,https://boot-video.xuexi.cn/video/1004/p/476956a60db084666921b70e4a6d4774-ba3e2d3ae6e3444dbc267c554c0fa6a4-2.mp4
1.6五味的调和,https://boot-video.xuexi.cn/video/1004/p/275dbb68c4425b0a1833ebb01e562d3c-b47f108035f341eeb83cd32a459e65c3-2.mp4
1.7我们的田野,https://boot-video.xuexi.cn/video/1004/p/8b024c194fd9c662865f13601624977c-ebd97d605a6543578ccdd9f6101ccdd7-2.mp4
2.1时节,https://boot-video.xuexi.cn/video/1004/p/fee580b57adf2e29695f7ea100b0eee0-1b0a4d5a8d4c4d80abe1b056077cc89e-2.mp4
2.2脚步,https://boot-video.xuexi.cn/video/1004/p/4dab86152221d5c7b603d20416811958-9c5d7218c23c400a844731cf928cbf8c-2.mp4
2.3心传,https://boot-video.xuexi.cn/video/1004/p/09fea595897197b96b07b5e70b0c42a7-aa5105d3d27049b283acc769f4cc8042-2.mp4
2.4秘境,https://boot-video.xuexi.cn/video/1004/p/9d6a817f32810328c4c15c7f41d65814-53895c26ade64738b6027de979e41dc4-2.mp4
2.5家常,https://boot-video.xuexi.cn/video/1004/p/e21b72b8a04e6bbd86965dbd3e5eedb3-c60e1caddc5643d989a7b1a4ef48a7e0-2.mp4
2.6相逢,https://boot-video.xuexi.cn/video/1004/p/0a9adb363d45d6ad9260101c5c76a83c-911b80d9e307423c8e33997dd46534c8-2.mp4
2.7三餐,https://boot-video.xuexi.cn/video/1004/p/6808b771d75a1f98d22eebd49284cdb5-1777dd108ecc4352832152a38f9d179c-2.mp4
3.1器,https://ikcdn01.ikzybf.com/20221203/RuHvC6IO/index.m3u8
3.2香,https://ikcdn01.ikzybf.com/20221203/Ux82AEDV/index.m3u8
3.3宴,https://ikcdn01.ikzybf.com/20221203/INlFm8ht/index.m3u8
3.4养,https://ikcdn01.ikzybf.com/20221203/cXbda0wS/index.m3u8
3.5食,https://ikcdn01.ikzybf.com/20221203/FfAVcDJd/index.m3u8
3.6酥,https://ikcdn01.ikzybf.com/20221203/yHlRyL0a/index.m3u8
3.7生,https://ikcdn01.ikzybf.com/20221203/HuShXFq1/index.m3u8
3.8合,https://ikcdn01.ikzybf.com/20221203/hzqkjdTI/index.m3u8
4.1绝活,https://v.cdnlz3.com/20250205/33188_238c798e/index.m3u8
4.2烟火,https://v.cdnlz3.com/20250205/33189_d6d7ad37/index.m3u8
4.3焕发,https://v.cdnlz3.com/20250210/33443_929d5ed9/index.m3u8
4.4天作,https://v.cdnlz3.com/20250210/33442_573dfff6/index.m3u8
4.5风物,https://v.cdnlz3.com/20250210/33446_c14d8859/index.m3u8
4.6洞天,https://v.cdnlz3.com/20250210/33445_4d96cf1b/index.m3u8
4.7华流,https://v.cdnlz3.com/20250210/33444_7dcbdfec/index.m3u8
